lat,lon,name,major,minor,nta,borough,nodes,stages,major_cls,major_lanes,minor_cls,minor_lanes,cycle_s,green_s,cross_m,wait_major_s,wait_minor_s,barnes,lpi,subway_access,poi_200m,peds_cross_major,peds_cross_minor,peds_day,lost_hours_day,rank_lost,rank_wait
40.773882,-73.982221,Broadway / West 66th Street,Broadway,West 66th Street,Upper West Side-Lincoln Square,Manhattan,2,2,primary,7.0,secondary,3.0,90,23.0,32.1,49.9,8.1,0,0,52046,83,11846,11846,23691,190.8,84,379
40.758645,-73.981341,6th Avenue / West 48th Street,6th Avenue,West 48th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,residential,1.0,90,23.0,17.0,24.9,6.0,0,1,182289,94,21713,24086,45799,190.5,85,1672
40.757963,-73.985534,7th Avenue / West 45th Street,7th Avenue,West 45th Street,Midtown-Times Square,Manhattan,1,1,secondary,5.0,secondary,1.0,90,25.7,20.1,22.9,8.1,0,1,176534,100,21377,23713,45090,189.6,86,3363
40.737158,-73.879403,Queens Boulevard / Van Loon Street,Queens Boulevard,Van Loon Street,Elmhurst,Queens,4,4,primary,10.0,residential,2.0,120,32.0,53.3,129.1,6.0,0,0,15928,39,4966,6779,11745,189.3,87,8
40.710913,-74.009098,Broadway / Fulton Street,Broadway,Fulton Street,Financial District-Battery Park City,Manhattan,1,1,secondary,3.0,residential,1.0,90,23.0,13.9,24.9,6.0,0,0,149315,184,21861,21861,43721,187.8,88,1673
40.752199,-73.993458,West 34th Street / 8th Avenue,West 34th Street,8th Avenue,Chelsea-Hudson Yards,Manhattan,1,1,primary,4.0,secondary,4.0,90,38.6,17.0,14.7,12.1,0,1,220329,96,26411,23809,50220,187.4,89,7602
40.753486,-73.978776,Madison Avenue / East 43rd Street,Madison Avenue,East 43rd Street,Midtown-Times Square,Manhattan,1,1,secondary,5.0,residential,2.0,90,25.7,20.1,22.9,6.0,0,1,169903,129,23276,23276,46552,187.0,90,3364
40.788325,-73.976518,Broadway / West 86th Street,Broadway,West 86th Street,Upper West Side (Central),Manhattan,2,2,primary,8.0,secondary,4.0,120,33.2,35.2,62.7,8.1,0,1,32749,107,9497,9497,18994,186.9,91,324
40.756771,-73.982712,6th Avenue / West 45th Street,6th Avenue,West 45th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,secondary,2.0,90,26.0,17.0,22.8,8.1,0,1,173407,124,21192,23508,44700,186.9,92,4695
40.752289,-73.989688,7th Avenue / West 36th Street,7th Avenue,West 36th Street,Midtown-Times Square,Manhattan,1,1,secondary,3.0,secondary,2.0,90,32.0,13.9,18.7,8.9,0,1,215744,126,23567,26142,49709,186.9,93,5225
40.752895,-73.989243,7th Avenue / West 37th Street,7th Avenue,West 37th Street,Midtown-Times Square,Manhattan,1,1,secondary,3.0,secondary,2.0,90,32.0,13.9,18.7,8.9,0,1,215654,131,23562,26137,49699,186.9,94,5226
40.705888,-74.013281,Broadway / Morris Street,Broadway,Morris Street,Financial District-Battery Park City,Manhattan,1,1,secondary,2.0,residential,1.0,90,17.2,10.9,29.5,17.4,1,0,81214,101,13229,16278,29506,186.8,95,1340
40.75739,-73.982254,6th Avenue / West 46th Street,6th Avenue,West 46th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,secondary,2.0,90,26.0,17.0,22.8,8.1,0,1,171060,128,21052,23353,44405,185.7,96,4696
40.759223,-73.984619,7th Avenue / West 47th Street,7th Avenue,West 47th Street,Midtown-Times Square,Manhattan,1,1,secondary,3.0,residential,2.0,90,25.8,13.9,22.9,6.0,0,1,167361,110,23106,23106,46212,185.6,97,3365
40.758597,-73.985079,7th Avenue / West 46th Street,7th Avenue,West 46th Street,Midtown-Times Square,Manhattan,1,1,secondary,5.0,secondary,1.0,90,25.7,20.1,22.9,8.1,0,1,168781,108,20916,23201,44117,185.5,98,3366
40.750457,-73.987287,6th Avenue / West 35th Street,6th Avenue,West 35th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,unclassified,3.0,90,29.2,17.0,20.6,6.0,0,1,232511,123,24441,27112,51553,184.7,99,4986
40.752858,-73.992976,8th Avenue / West 35th Street,8th Avenue,West 35th Street,Midtown-Times Square,Manhattan,1,1,secondary,3.0,unclassified,2.0,90,26.7,13.9,22.2,6.0,0,1,203805,96,22923,25428,48351,183.9,100,4801
40.751082,-73.986828,West 36th Street / 6th Avenue,West 36th Street,6th Avenue,Midtown-Times Square,Manhattan,1,1,secondary,3.0,secondary,3.0,90,41.0,13.9,13.3,13.3,0,0,213949,116,26036,23471,49507,183.4,101,7732
